EstupefacientesTenenciaparaconsumopersonal(art14segundoparrafoLey23737);Estupefacientes - Tenencia para consumo personal (art. 14 segundo parrafo - Ley 23.737)
EstupefacientesTenenciasimple(art14primerpárrafoLey23737);Estupefacientes - Tenencia simple (art. 14 primer párrafo - Ley 23.737)
EstuproArt120párr1ro;Estupro - Art.120 párr. 1ro
EstuproAgravadoArt120párr2do;Estupro Agravado - Art.120 párr. 2do
EvasiónArt280;Evasión - Art.280
ExaccionesilegalesArt266;Exacciones ilegales - Art.266
ExaccionesilegalesagravadasporelmedioempleadoArt267;Exacciones ilegales agravadas por el medio empleado - Art.267
ExhibicionesobscenasArt129párr1ro;Exhibiciones obscenas - Art.129 párr. 1ro
ExhibicionesobscenasagravadasArt129párr2do;Exhibiciones obscenas agravadas - Art.129 párr. 2do
ExpedicióndecertificadosmédicosfalsosArt295;Expedición de certificados médicos falsos - Art.295
ExplotacióneconómicadelejerciciodelaprostitucióndemayoresArt127párr1ro;Explotación económica del ejercicio de la prostitución de mayores - Art.127 párr. 1ro
ExplotacióneconómicadelejerciciodelaprostitucióndemayoresAgravadaArt127párr2do;Explotación económica del ejercicio de la prostitución de mayores Agravada - Art.127 párr. 2do
Explotacióneconómicadelejerciciodelaprostitucióndemenoresde18añosArt127infine;Explotación económica del ejercicio de la prostitución de menores de 18 años - Art.127 in fine
ExtorsiónArt168;Extorsión - Art.168
ExtorsiónporchantageArt169;Extorsión por chantage - Art.169
Facilitamientodelaccesoaespectáculospornográficososuministrodematerialpornográficoamenoresde14añosArt128párr3ro;Facilitamiento del acceso a espectáculos pornográficos o suministro de material pornográfico a menores de 14 años - Art.128 párr. 3ro
FalsadenunciaArt245;Falsa denuncia - Art.245
Falsificacióndemarcas,contraseñasofirmasArt289Inc1º;Falsificación de marcas, contraseñas o firmas - Art.289 Inc.1º
Falsificacióndesellos,timbresymarcasagravadoporlacalidaddelautorArt291;Falsificación de sellos, timbres y marcas agravado por la calidad del autor - Art.291
FalsificacióndemonedaArt282;Falsificación de moneda - Art.282
FalsificacióndesellosoficialesArt288Inc1º;Falsificación de sellos oficiales - Art.288 Inc.1º
FalsificaciónoadulteraciónideológicadedocumentosArt293;Falsificación o adulteración ideológica de documentos - Art.293
FalsificaciónoadulteraciónideológicadedocumentosagravadaArt293infine;Falsificación o adulteración ideológica de documentos agravada - Art.293 in fine
FalsificaciónoadulteraciónmaterialdedocumentosArt292;Falsificación o adulteración material de documentos - Art.292
FalsificaciónoadulteraciónmaterialdedocumentosagravadaArt292infine;Falsificación o adulteración material de documentos agravada - Art.292 in fine
FalsificaciónuomisiónmaliciosadedatosArt2683párr3ro;Falsificación u omisión maliciosa de datos - Art.268 3 párr. 3ro
Falsificación,alteraciónosupresióndelanumeracióndeunobjetoregistrableArt289Inc3º;Falsificación, alteración o supresión de la numeración de un objeto registrable - Art.289 Inc.3º
FalsotestimonioArt275;Falso testimonio - Art.275
FraudecomercialoindustrialArt174Inc6º;Fraude comercial o industrial - Art.174 Inc.6º
FraudeenperjuiciodelaadministraciónpúblicaArt174Inc5º;Fraude en perjuicio de la administración pública - Art.174 Inc.5º
Hallazgo;Hallazgo
Hallazgodeautomotor;Hallazgo de automotor
Hallazgodemotovehículo;Hallazgo de moto vehículo
HomicidioArt79;Homicidio - Art.79
HomicidioagravadocriminiscausaArt80Inc7º;Homicidio agravado criminis causa - Art.80 Inc.7º
HomicidioagravadoporconcursopremeditadodedosomáspersonasArt80Inc6º;Homicidio agravado por concurso premeditado de dos o más personas - Art.80 Inc.6º
HomicidioagravadoporelvínculoArt80Inc1º;Homicidio agravado por el vínculo - Art.80 Inc.1º
HomicidioculposoArt84;Homicidio culposo - Art.84
Homicidiodeunamujercometidoporunhombremediandoviolenciadegénero(Femicidio)Art80Inc11°;Homicidio de una mujer cometido por un hombre mediando violencia de género (Femicidio) - Art.80 Inc.11°
HomicidioenestadodeemociónviolentaArt81Inc1a);Homicidio en estado de emoción violenta - Art.81 Inc.1 a)
HomicidioenocasiónderoboArt165;Homicidio en ocasión de robo - Art.165
HomicidioenriñaArt95;Homicidio en riña - Art.95
HomicidiopreterintencionalArt81Inc1B);Homicidio preterintencional - Art.81 Inc.1 B)
HurtoArt162;Hurto - Art.162
Hurtoagravado(calamitoso)Art163Inc2º;Hurto agravado (calamitoso) - Art.163 Inc.2º
Hurtoagravado(campestre)Art163Inc1º;Hurto agravado (campestre) - Art.163 Inc.1º
Hurtoagravado(conescalamiento)Art163Inc4º;Hurto agravado (con escalamiento) - Art.163 Inc.4º
Hurtoagravado(conganzúa,llavefalsa,uotroinstrumento)Art163Inc3º;Hurto agravado (con ganzúa, llave falsa, u otro instrumento) - Art.163 Inc.3º
Hurtoagravado(mercaderíaentránsito)Art163Inc5º;Hurto agravado (mercadería en tránsito) - Art.163 Inc.5º
Hurtoagravado(vehículodejadoenlavíapública)Art163Inc6º;Hurto agravado (vehículo dejado en la vía pública) - Art.163 Inc.6º
HurtoagravadoporlacalidaddeautorArt163bis;Hurto agravado por la calidad de autor - Art.163 bis
ImpedimentooestorboalacirculacióndepublicacionesArt161;Impedimento o estorbo a la circulación de publicaciones - Art.161
ImpedimentooturbacióndereuniónlícitaArt160;Impedimento o turbación de reunión lícita - Art.160
IncendioodestruccióndebienesruralesArt186Inc2º;Incendio o destrucción de bienes rurales - Art.186 Inc.2º
IncendiooestragoculposoArt189;Incendio o estrago culposo - Art.189
IncendiooestragoculposoagravadoArt189infine;Incendio o estrago culposo agravado - Art.189 in fine
Incendio,explosiónoinundaciónconpeligrocomúnparalosbienesArt186Inc1º;Incendio, explosión o inundación con peligro común para los bienes - Art.186 Inc.1º
Incendio,explosiónoinundaciónconpeligrodemuerteArt186Inc4º;Incendio, explosión o inundación con peligro de muerte - Art.186 Inc.4º
Incendio,explosiónoinundaciónconpeligroparabienesdeterminadosArt186Inc3º;Incendio, explosión o inundación con peligro para bienes determinados - Art.186 Inc.3º
Incendio,explosiónoinundaciónseguidodemuerteArt186Inc5º;Incendio, explosión o inundación seguido de muerte - Art.186 Inc.5º
IncitaciónalaviolenciacolectivaArt212;Incitación a la violencia colectiva - Art.212
IncumplimientodelosdeberesdefuncionariopúblicoArt248infine;Incumplimiento de los deberes de funcionario público - Art.248 in fine
